PAYMENT_METHOD_ID,CUSTOMER_ID,PAYMENT_TYPE,TOKEN,DISPLAY_NAME,CARD_BRAND,CARD_LAST_FOUR,EXPIRES_MONTH,EXPIRES_YEAR,IS_DEFAULT,IS_VERIFIED,BILLING_ADDRESS,CREATED_AT,LAST_USED_AT
0010ac36-a1e5-4ffe-be73-da5933760e83,72444c2c-c22a-4fde-b408-12d8fd350527,card,tok_496c4259-6157-4bbc-ab09-,Discover ****3861,discover,3861,12,2028,True,True,"{""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10001""}",2025-03-31 15:36:57,2025-11-28 14:15:57
007c92f8-6159-4d7a-9043-8eac2aa1b17d,b02fd9c3-8511-409c-9c48-abb0d24d299f,paypal,tok_3005b2ce-75d2-4c76-9b4a-,Amex ****8074,amex,8074,7,2028,True,True,"{""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10001""}",2025-08-21 10:01:56,2025-11-29 00:28:56
0123e0e3-a65c-44bc-b533-4c631013b5e9,3204a686-bd14-4528-89f4-92f0b6c3c234,card,tok_1a160a55-e276-4d4b-aafb-,Discover ****1971,discover,1971,1,2028,True,True,"{""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10001""}",2025-01-16 00:48:01,2025-11-22 21:47:01
012f2414-4014-40e0-98f8-a1821dc9c4ae,abd992aa-ed01-4fff-b7e1-fa502d13f480,card,tok_a1143f48-eeec-4844-9190-,Visa ****1313,visa,1313,7,2026,False,True,"{""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10001""}",2025-07-19 05:12:59,2025-11-21 10:57:59
0172e05d-f868-4af1-87cb-3027328155bc,c2a3cb23-cd80-44aa-8c47-a3ff214ee8ce,apple_pay,tok_e4863d37-e0d9-4632-82e8-,Amex ****9957,amex,9957,12,2025,True,True,"{""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10001""}",2025-09-28 09:11:58,2025-11-25 03:49:58
01b60f44-9dc1-4fa8-bbbf-912203cf8c8b,f4c95264-d3c0-45e7-805a-5d06d10eec78,apple_pay,tok_27bea233-eb0a-4cf3-8bb6-,Discover ****1594,discover,1594,11,2027,False,True,"{""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10001""}",2025-07-04 07:52:53,2025-12-19 03:38:53
01f64dcf-80be-4140-9933-325a4804af06,20bacc92-f9fe-4e66-9726-c07d7886b657,paypal,tok_88fc72b6-2843-4882-a493-,Mastercard ****2250,mastercard,2250,5,2026,True,True,"{""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10001""}",2025-10-23 00:58:58,2025-11-24 06:42:58
02c7d5bb-d321-4ae3-9c3e-abad7bd992eb,3c4e7e82-b828-4d54-9894-ac9ed2b9e80c,paypal,tok_7b6c7881-a942-449d-bb37-,Visa ****8598,visa,8598,5,2028,False,True,"{""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10001""}",2025-02-24 19:35:56,2025-12-08 11:02:56
02cca390-e20b-40d0-9d6f-77244126e89e,d9d47bbf-8e22-4c5b-ab03-7bff08921cdb,card,tok_800ff042-e23c-4c64-b32d-,Discover ****7387,discover,7387,4,2030,False,True,"{""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10001""}",2025-02-06 15:09:56,2025-12-16 18:57:56
0302903f-a870-4428-9d20-42f468831f24,2d9b60d2-f124-4652-961a-addeae7cec9b,card,tok_8679a754-86e8-4328-9c02-,Visa ****2127,visa,2127,8,2028,True,True,"{""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10001""}",2025-04-10 06:10:59,2025-12-08 18:24:59
